Date,Ticker,Shares,Open,High,Low,Close,Volume,Value
2025-08-21,WBC.AX,0,38.640,38.800,38.175,38.730,7668347,0.00
2025-08-21,WDS.AX,1288,26.400,26.650,26.170,26.510,5045052,34144.88
2025-08-22,ALK.AX,153181,0.930,0.955,0.910,0.915,5180393,140160.62
2025-08-22,AMP.AX,70000,1.750,1.755,1.730,1.735,6221820,121450.00
2025-08-22,ASM.AX,57458,0.565,0.585,0.565,0.570,516764,32751.06
2025-08-22,BHP.AX,16391,42.660,42.810,42.000,42.000,13494593,688422.00
2025-08-22,CAN.AX,44090,0.014,0.014,0.014,0.014,680060,617.26
2025-08-22,CBA.AX,0,173.670,174.500,172.500,172.840,3023915,0.00
2025-08-22,CNB.AX,10000,0.330,0.335,0.320,0.330,274417,3300.00
2025-08-22,E25.AX,20000,0.305,0.320,0.300,0.305,170055,6100.00
2025-08-22,ERA.AX,700000,0.002,0.003,0.002,0.002,6818366,1400.00
2025-08-22,PTR.AX,9412,0.315,0.325,0.315,0.320,170264,3011.84
2025-08-22,VML.AX,6000,0.140,0.140,0.140,0.140,0,840.00
2025-08-22,WBC.AX,0,38.710,39.130,38.640,38.980,8564878,0.00
2025-08-22,WDS.AX,1288,26.720,26.900,26.610,26.610,5904830,34273.68
2025-08-25,ALK.AX,153181,0.955,1.020,0.955,0.985,10467313,150883.29
2025-08-25,AMP.AX,70000,1.750,1.798,1.750,1.760,8113300,123200.00
2025-08-25,ASM.AX,57458,0.580,0.595,0.580,0.585,643036,33612.93
2025-08-25,BHP.AX,16391,42.900,43.340,42.820,43.140,9440006,707107.73
2025-08-25,CAN.AX,44090,0.013,0.014,0.012,0.012,3498634,529.08
2025-08-25,CBA.AX,0,173.950,174.100,169.300,170.300,2121993,0.00
2025-08-25,CNB.AX,10000,0.320,0.335,0.310,0.310,496481,3100.00
2025-08-25,E25.AX,20000,0.305,0.320,0.305,0.320,144745,6400.00
2025-08-25,ERA.AX,700000,0.002,0.002,0.002,0.002,641340,1400.00
2025-08-25,PTR.AX,9412,0.330,0.355,0.320,0.325,449834,3058.90
2025-08-25,VML.AX,6000,0.145,0.170,0.130,0.130,1654390,780.00
2025-08-25,WBC.AX,0,39.150,39.280,38.155,38.290,7337783,0.00
2025-08-25,WDS.AX,1288,26.850,27.030,26.750,26.850,5154676,34582.80
2025-08-26,ALK.AX,153181,0.970,0.970,0.945,0.965,6326577,147819.66
2025-08-26,AMP.AX,70000,1.750,1.765,1.712,1.720,9721101,120400.00
2025-08-26,ASM.AX,57458,0.590,0.592,0.565,0.570,552068,32751.06
2025-08-26,BHP.AX,16391,43.000,43.020,42.590,42.650,10597760,699076.18
2025-08-26,CAN.AX,44090,0.012,0.013,0.012,0.012,622767,529.08
2025-08-26,CBA.AX,0,170.300,171.760,168.800,169.080,2527097,0.00
2025-08-26,CNB.AX,10000,0.310,0.335,0.310,0.315,216228,3150.00
2025-08-26,E25.AX,20000,0.310,0.330,0.310,0.330,100127,6600.00
2025-08-26,ERA.AX,700000,0.002,0.003,0.002,0.002,714289,1750.00
2025-08-26,PTR.AX,9412,0.330,0.330,0.315,0.320,218946,3011.84
2025-08-26,VML.AX,6000,0.130,0.165,0.130,0.165,557200,990.00
2025-08-26,WBC.AX,0,38.220,38.490,38.020,38.300,5050589,0.00
2025-08-26,WDS.AX,1288,27.100,27.300,26.665,27.030,7501868,34814.64
2025-08-27,ALK.AX,153181,0.990,1.055,0.975,1.040,7693781,159308.23
2025-08-27,AMP.AX,70000,1.730,1.730,1.695,1.720,4526852,120400.00
2025-08-27,ASM.AX,57458,0.575,0.585,0.565,0.580,298482,33325.64
2025-08-27,BHP.AX,16391,42.700,43.220,42.590,43.220,5993473,708419.04
2025-08-27,CAN.AX,44090,0.012,0.013,0.012,0.012,890131,529.08
2025-08-27,CBA.AX,0,170.240,171.490,169.275,169.830,1134394,0.00
2025-08-27,CNB.AX,10000,0.310,0.325,0.310,0.320,36708,3200.00
2025-08-27,E25.AX,20000,0.330,0.330,0.320,0.320,55734,6400.00
2025-08-27,ERA.AX,700000,0.002,0.002,0.002,0.002,29734,1750.00
2025-08-27,PTR.AX,9412,0.320,0.335,0.303,0.330,663419,3105.96
2025-08-27,VML.AX,6000,0.170,0.260,0.170,0.210,1754048,1260.00
2025-08-27,WBC.AX,0,38.400,38.500,38.230,38.500,2631970,0.00
2025-08-27,WDS.AX,1288,27.010,27.210,26.970,27.080,4683533,34879.04
2025-08-28,ALK.AX,153181,1.045,1.082,1.035,1.050,6287204,160840.04
2025-08-28,AMP.AX,70000,1.730,1.730,1.695,1.695,2008647,118650.00
2025-08-28,ASM.AX,57458,0.590,0.625,0.585,0.605,2380768,34762.09
2025-08-28,BHP.AX,16391,42.910,43.060,42.760,43.010,6259702,704976.88
2025-08-28,CAN.AX,44090,0.012,0.014,0.012,0.012,2215128,529.08
2025-08-28,CBA.AX,0,170.370,173.350,170.160,173.350,1558387,0.00
2025-08-28,CNB.AX,10000,0.330,0.330,0.315,0.315,52601,3150.00
2025-08-28,E25.AX,20000,0.310,0.315,0.305,0.310,80862,6200.00
2025-08-28,ERA.AX,700000,0.002,0.003,0.002,0.002,894753,1400.00
2025-08-28,PTR.AX,9412,0.330,0.330,0.320,0.325,41551,3058.90
2025-08-28,VML.AX,6000,0.205,0.205,0.185,0.200,373938,1200.00
2025-08-28,WBC.AX,0,38.500,39.010,38.445,39.010,3371845,0.00
2025-08-28,WDS.AX,1288,26.160,26.240,25.920,26.150,4353289,33681.20
2025-08-29,ALK.AX,153181,1.065,1.095,1.050,1.050,9269087,160840.04
2025-08-29,AMP.AX,70000,1.685,1.720,1.680,1.710,3440237,119700.00
2025-08-29,ASM.AX,57458,0.600,0.610,0.580,0.590,746910,33900.22
2025-08-29,BHP.AX,16391,43.100,43.320,42.800,43.190,11355266,707927.27
2025-08-29,CAN.AX,44090,0.013,0.014,0.012,0.014,4173308,617.26
2025-08-29,CBA.AX,0,172.060,172.780,170.300,170.300,2230286,0.00
2025-08-29,CNB.AX,10000,0.315,0.330,0.315,0.320,189534,3200.00
2025-08-29,E25.AX,20000,0.310,0.310,0.305,0.310,3272,6200.00
2025-08-29,ERA.AX,700000,0.002,0.003,0.002,0.002,6483080,1400.00
2025-08-29,PTR.AX,9412,0.325,0.325,0.315,0.320,458071,3011.84
2025-08-29,VML.AX,6000,0.200,0.225,0.200,0.225,355018,1350.00
2025-08-29,WBC.AX,0,38.850,38.900,38.390,38.610,4984661,0.00
2025-08-29,WDS.AX,1288,26.300,26.430,26.120,26.410,3892628,34016.08
2025-09-01,ALK.AX,153181,1.080,1.130,1.070,1.125,7341682,172328.62
2025-09-01,AMP.AX,70000,1.695,1.705,1.675,1.675,2596769,117250.00
2025-09-01,ASM.AX,57458,0.605,0.605,0.570,0.605,1191524,34762.09
2025-09-01,BHP.AX,16391,42.700,42.900,42.480,42.700,5679631,699895.71
2025-09-01,CAN.AX,44090,0.014,0.014,0.013,0.013,1998114,573.17
2025-09-01,CBA.AX,0,170.580,171.590,168.080,168.950,1183192,0.00
2025-09-01,CNB.AX,10000,0.320,0.325,0.310,0.310,368158,3100.00
2025-09-01,E25.AX,20000,0.315,0.315,0.300,0.300,125095,6000.00
2025-09-01,ERA.AX,700000,0.003,0.003,0.002,0.002,29385258,1400.00
2025-09-01,PTR.AX,9412,0.325,0.335,0.320,0.330,114944,3105.96
2025-09-01,VML.AX,6000,0.225,0.250,0.225,0.230,511382,1380.00
2025-09-01,WBC.AX,0,38.410,39.020,38.120,38.250,3250837,0.00
2025-09-01,WDS.AX,1288,26.360,26.400,26.030,26.130,2955846,33655.44
2025-09-02,ALK.AX,153181,1.135,1.165,1.130,1.145,5548835,175392.24
2025-09-02,AMP.AX,70000,1.675,1.675,1.648,1.665,5385734,116550.00
2025-09-02,ASM.AX,57458,0.605,0.605,0.585,0.600,172975,34474.80
2025-09-02,BHP.AX,16391,42.600,43.190,42.600,42.850,6959643,702354.32
2025-09-02,CAN.AX,44090,0.013,0.014,0.013,0.013,415473,573.17
2025-09-02,CBA.AX,0,168.750,171.700,168.670,170.460,1294405,0.00
2025-09-02,CNB.AX,10000,0.310,0.320,0.300,0.310,372748,3100.00
2025-09-02,E25.AX,20000,0.315,0.315,0.298,0.310,174980,6200.00
2025-09-02,ERA.AX,700000,0.002,0.003,0.002,0.002,293360,1400.00
2025-09-02,PTR.AX,9412,0.330,0.330,0.325,0.325,34147,3058.90
2025-09-02,VML.AX,6000,0.225,0.230,0.215,0.215,35644,1290.00
2025-09-02,WBC.AX,0,38.200,38.880,38.160,38.570,2948211,0.00
2025-09-02,WDS.AX,1288,25.970,26.160,25.860,26.150,2814753,33681.20
2025-09-03,ALK.AX,153181,1.140,1.195,1.125,1.175,15318791,179987.67
2025-09-03,AMP.AX,70000,1.655,1.670,1.625,1.630,6308478,114100.00
2025-09-03,ASM.AX,57458,0.595,0.600,0.570,0.570,1072043,32751.06
2025-09-03,BHP.AX,16391,42.700,43.010,42.250,42.290,8236801,693175.41
2025-09-03,CAN.AX,44090,0.013,0.014,0.013,0.013,281532,573.17
2025-09-03,CBA.AX,0,169.000,169.280,164.300,164.550,2536459,0.00
2025-09-03,CNB.AX,10000,0.310,0.310,0.300,0.305,658603,3050.00
2025-09-03,E25.AX,20000,0.310,0.340,0.290,0.340,570625,6800.00
2025-09-03,ERA.AX,700000,0.002,0.002,0.002,0.002,144318,1750.00
2025-09-03,PTR.AX,9412,0.330,0.330,0.315,0.315,562902,2964.78
2025-09-03,VML.AX,6000,0.215,0.235,0.180,0.185,255144,1110.00
2025-09-03,WBC.AX,0,38.300,38.440,37.110,37.160,5352406,0.00
2025-09-03,WDS.AX,1288,26.340,26.530,25.830,25.950,5350111,33423.60
2025-09-04,ALK.AX,153181,1.160,1.183,1.125,1.130,11186380,173094.53
2025-09-04,AMP.AX,70000,1.640,1.680,1.640,1.670,6654458,116900.00
2025-09-04,ASM.AX,57458,0.575,0.580,0.550,0.555,643051,31889.19
2025-09-04,BHP.AX,16391,41.750,42.110,41.660,41.980,8318138,688094.17
2025-09-04,CAN.AX,44090,0.013,0.014,0.013,0.013,160811,573.17
2025-09-04,CBA.AX,0,166.050,168.215,165.010,168.000,1657956,0.00
2025-09-04,CNB.AX,10000,0.305,0.305,0.290,0.295,698839,2950.00
2025-09-04,E25.AX,20000,0.335,0.345,0.335,0.345,262528,6900.00
2025-09-04,ERA.AX,700000,0.003,0.003,0.002,0.002,1075272,1750.00
2025-09-04,PTR.AX,9412,0.325,0.325,0.315,0.315,161932,2964.78
2025-09-04,VML.AX,6000,0.180,0.195,0.165,0.185,331370,1110.00
2025-09-04,WBC.AX,0,37.720,38.060,37.510,37.900,3716677,0.00
2025-09-04,WDS.AX,1288,25.420,25.790,25.260,25.770,4675934,33191.76
2025-09-05,ALK.AX,153181,1.105,1.130,1.085,1.120,10863191,171562.72
2025-09-05,AMP.AX,70000,1.685,1.695,1.665,1.685,4747946,117950.00
2025-09-05,ASM.AX,57458,0.565,0.565,0.550,0.550,193711,31601.90
2025-09-05,BHP.AX,16391,41.400,41.610,41.330,41.610,8268770,682029.52
2025-09-05,CAN.AX,44090,0.014,0.014,0.013,0.013,603963,573.17
2025-09-05,CBA.AX,0,169.270,169.600,167.250,168.140,1407522,0.00
2025-09-05,CNB.AX,10000,0.295,0.300,0.285,0.300,159304,3000.00
2025-09-05,E25.AX,20000,0.340,0.340,0.305,0.340,110422,6800.00
2025-09-05,ERA.AX,700000,0.002,0.002,0.002,0.002,250,1400.00
2025-09-05,PTR.AX,9412,0.315,0.315,0.310,0.310,243102,2917.72
2025-09-05,VML.AX,6000,0.190,0.195,0.165,0.175,318680,1050.00
2025-09-05,WBC.AX,0,38.140,38.370,38.050,38.170,3293617,0.00
2025-09-05,WDS.AX,1288,25.680,25.760,25.510,25.680,3429559,33075.84
2025-09-08,ALK.AX,153181,1.150,1.165,1.130,1.145,4649493,175392.24
2025-09-08,AMP.AX,70000,1.655,1.715,1.650,1.695,6835752,118650.00
2025-09-08,ASM.AX,57458,0.560,0.565,0.540,0.540,498912,31027.32
2025-09-08,BHP.AX,16391,41.630,41.790,41.310,41.370,7131110,678095.65
2025-09-08,CAN.AX,44090,0.013,0.014,0.012,0.012,6397545,529.08
2025-09-08,CBA.AX,0,168.000,168.240,166.590,168.240,1221001,0.00
2025-09-08,CNB.AX,10000,0.295,0.300,0.295,0.300,118530,3000.00
2025-09-08,E25.AX,20000,0.330,0.330,0.325,0.330,97680,6600.00
2025-09-08,ERA.AX,700000,0.002,0.002,0.002,0.002,119367,1750.00
2025-09-08,PTR.AX,9412,0.315,0.325,0.315,0.320,42659,3011.84
2025-09-08,VML.AX,6000,0.175,0.190,0.170,0.185,287941,1110.00
2025-09-08,WBC.AX,0,37.820,38.050,37.690,37.960,2605060,0.00
2025-09-08,WDS.AX,1288,25.150,25.160,24.670,24.980,4983285,32174.24
2025-09-09,ALK.AX,153181,1.165,1.170,1.120,1.150,6713762,176158.15
2025-09-09,AMP.AX,70000,1.695,1.705,1.668,1.675,5296090,117250.00
2025-09-09,ASM.AX,57458,0.545,0.550,0.535,0.540,174512,31027.32
2025-09-09,BHP.AX,16391,41.130,41.180,40.700,40.970,11339058,671539.29
2025-09-09,CAN.AX,44090,0.012,0.012,0.011,0.011,2885638,484.99
2025-09-09,CBA.AX,0,168.240,168.240,165.380,166.080,1967975,0.00
2025-09-09,CNB.AX,10000,0.300,0.310,0.295,0.310,6033647,3100.00
2025-09-09,E25.AX,20000,0.330,0.345,0.330,0.335,443018,6700.00
2025-09-09,ERA.AX,700000,0.002,0.002,0.002,0.002,13333,1750.00
2025-09-09,PTR.AX,9412,0.320,0.320,0.305,0.315,175388,2964.78
2025-09-09,VML.AX,6000,0.180,0.200,0.180,0.200,139105,1200.00
2025-09-09,WBC.AX,0,37.740,37.760,37.410,37.650,4306570,0.00
2025-09-09,WDS.AX,1288,25.000,25.000,24.610,24.680,3092567,31787.84
2025-09-10,ALK.AX,153181,1.115,1.140,1.023,1.075,9512709,164669.58
2025-09-10,AMP.AX,70000,1.670,1.710,1.670,1.690,5693776,118300.00
2025-09-10,ASM.AX,57458,0.540,0.550,0.525,0.525,452302,30165.45
2025-09-10,BHP.AX,16391,40.320,40.560,40.180,40.460,7263768,663179.84
2025-09-10,CAN.AX,44090,0.011,0.011,0.010,0.010,3218592,440.90
2025-09-10,CBA.AX,0,167.000,169.170,166.910,168.540,1448532,0.00
2025-09-10,CNB.AX,10000,0.305,0.305,0.290,0.290,424040,2900.00
2025-09-10,E25.AX,20000,0.335,0.335,0.335,0.335,0,6700.00
2025-09-10,ERA.AX,700000,0.002,0.002,0.002,0.002,66500,1750.00
2025-09-10,PTR.AX,9412,0.322,0.322,0.305,0.310,82932,2917.72
2025-09-10,VML.AX,6000,0.195,0.195,0.180,0.185,72776,1110.00
2025-09-10,WBC.AX,0,38.000,38.340,37.850,38.290,3907536,0.00
2025-09-10,WDS.AX,1288,24.610,24.845,24.570,24.770,2649646,31903.76
2025-09-11,ALK.AX,153181,1.075,1.095,1.040,1.040,9768408,159308.23
2025-09-11,AMP.AX,70000,1.690,1.705,1.673,1.695,4377914,118650.00
2025-09-11,ASM.AX,57458,0.525,0.538,0.525,0.535,332671,30740.03
2025-09-11,BHP.AX,16391,40.300,40.480,40.150,40.270,5904258,660065.58
2025-09-11,CAN.AX,44090,0.011,0.012,0.010,0.010,2957618,440.90
2025-09-11,CBA.AX,0,168.590,168.590,166.820,167.770,1257595,0.00
2025-09-11,CNB.AX,10000,0.295,0.305,0.295,0.295,126567,2950.00
2025-09-11,E25.AX,20000,0.335,0.335,0.335,0.335,0,6700.00
2025-09-11,ERA.AX,700000,0.003,0.003,0.002,0.002,74176,1750.00
2025-09-11,PTR.AX,9412,0.320,0.320,0.305,0.310,168964,2917.72
2025-09-11,VML.AX,6000,0.200,0.200,0.180,0.190,154604,1140.00
2025-09-11,WBC.AX,0,38.180,38.190,37.740,37.950,3035430,0.00
2025-09-11,WDS.AX,1288,24.990,25.150,24.820,25.070,3846992,32290.16
