Ticker,Date,Open,High,Low,Close,Adj Close,Volume
BHP.AX,2025-10-01,42.04999923706055,42.119998931884766,41.41999816894531,41.470001220703125,41.470001220703125,11041231
BHP.AX,2025-10-02,41.900001525878906,42.334999084472656,41.84000015258789,41.939998626708984,41.939998626708984,7075579
BHP.AX,2025-10-03,41.900001525878906,42.20000076293945,41.79499816894531,42.08000183105469,42.08000183105469,4996434
BHP.AX,2025-10-06,42.0,42.15999984741211,41.79999923706055,41.900001525878906,41.900001525878906,5399935
BHP.AX,2025-10-07,41.900001525878906,42.314998626708984,41.869998931884766,41.959999084472656,41.959999084472656,6151818
BHP.AX,2025-10-08,41.95000076293945,42.1150016784668,41.81999969482422,41.88999938964844,41.88999938964844,6737624
BHP.AX,2025-10-09,42.61000061035156,43.11000061035156,42.494998931884766,43.11000061035156,43.11000061035156,14134217
BHP.AX,2025-10-10,42.880001068115234,42.900001525878906,42.15999984741211,42.220001220703125,42.220001220703125,10040660
BHP.AX,2025-10-13,41.86000061035156,42.06999969482422,41.52000045776367,41.88999938964844,41.88999938964844,8378334
BHP.AX,2025-10-14,42.560001373291016,43.119998931884766,42.43000030517578,42.790000915527344,42.790000915527344,9509568
BHP.AX,2025-10-15,43.22999954223633,43.540000915527344,42.93000030517578,43.540000915527344,43.540000915527344,9777081
BHP.AX,2025-10-16,43.47999954223633,43.84000015258789,43.34000015258789,43.77000045776367,43.77000045776367,10243494
BHP.AX,2025-10-17,43.560001373291016,43.63999938964844,43.209999084472656,43.599998474121094,43.599998474121094,10756381
BHP.AX,2025-10-20,42.849998474121094,43.13999938964844,42.790000915527344,43.13999938964844,43.13999938964844,8239848
BHP.AX,2025-10-21,43.79999923706055,44.33000183105469,43.72999954223633,44.130001068115234,44.130001068115234,9494518
BHP.AX,2025-10-22,43.400001525878906,43.68000030517578,43.11000061035156,43.5099983215332,43.5099983215332,7313867
BHP.AX,2025-10-23,42.75,43.0099983215332,42.290000915527344,43.0099983215332,43.0099983215332,7054913
BHP.AX,2025-10-24,42.75,43.2400016784668,42.66999816894531,43.2400016784668,43.2400016784668,7172830
